,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
7617,930041D83536B83A,classic_bike,2021-01-04 06:47:17,2021-01-04 07:06:35,15th & W St NW,31125.0,Jefferson Memorial,31249.0,38.9190185,-77.034449,38.879819,-77.037413,member
45810,08A1DEFF206022B1,classic_bike,2021-01-04 06:49:56,2021-01-04 06:57:17,Park Rd & Holmead Pl NW,31602.0,Lamont & Mt Pleasant NW,31107.0,38.9308,-77.0315,38.9319,-77.0388,member
10828,5F73D2A8E27BB19F,classic_bike,2021-01-04 06:50:20,2021-01-04 07:03:17,4th St & K St NW,31642.0,Maine Ave & 7th St SW,31609.0,38.90240556584194,-77.01600551605225,38.87869359939696,-77.02305436134337,member
65749,7A82B0F0CE7A5313,classic_bike,2021-01-04 06:51:47,2021-01-04 06:56:07,4th & East Capitol St NE,31618.0,3rd & G St SE,31625.0,38.889955,-77.000349,38.881184999999995,-77.001828,member
50334,AEB5879C438AE8AD,classic_bike,2021-01-04 06:54:58,2021-01-04 07:10:07,Reservoir Rd & 38th St NW,31325.0,15th & M St NW,31298.0,38.91261359469192,-77.07432264076488,38.905424,-77.034674,casual
1460,918053F7D78B88E2,classic_bike,2021-01-04 06:55:25,2021-01-04 07:05:27,Potomac Ave & Swann Ave,31916.0,Crystal Dr & 15th St S,31003.0,38.829545,-77.047844,38.860170000000004,-77.049593,member
97863,7E95BBC9035419C0,classic_bike,2021-01-04 06:55:25,2021-01-04 07:00:05,Pershing Dr & Wayne St,31065.0,Washington Blvd & 10th St N,31026.0,38.880705,-77.08596,38.884734,-77.093485,member
37826,926DB97059954400,classic_bike,2021-01-04 06:55:44,2021-01-04 07:01:03,15th & W St NW,31125.0,Thomas Circle,31241.0,38.9190185,-77.034449,38.9059,-77.0325,member
12074,92C5D227BD7ADB77,classic_bike,2021-01-04 06:57:17,2021-01-04 07:00:15,New Hampshire Ave & T St NW,31229.0,California St & Florida Ave NW,31116.0,38.915544,-77.038252,38.917761,-77.04061999999999,member
44091,3EFD8063B6FD1B77,classic_bike,2021-01-04 06:57:40,2021-01-04 07:06:40,10th & K St NW,31263.0,22nd & I St NW / Foggy Bottom,31257.0,38.9024,-77.02622,38.90088,-77.048911,member
64454,5D6DC0678D08D0E4,classic_bike,2021-01-04 07:00:20,2021-01-04 07:06:11,15th & W St NW,31125.0,17th St & Massachusetts Ave NW,31267.0,38.9190185,-77.034449,38.908142,-77.038359,member
37599,618ACB74E8A245C3,electric_bike,2021-01-04 07:00:21,2021-01-04 07:17:15,17th & Corcoran St NW,31214.0,17th & Corcoran St NW,31214.0,38.91209216666667,-77.03861850000001,38.912046333333336,-77.03877916666667,member
70033,3146B84F2B6CA030,electric_bike,2021-01-04 07:00:37,2021-01-04 07:18:26,13th & U St NW,31132.0,Court House Metro / 15th St & N Uhle St,31089.0,38.916721,-77.02939266666667,38.89064783333333,-77.08464333333333,casual
81122,68D0BBC8AC89CF4D,classic_bike,2021-01-04 07:02:10,2021-01-04 07:05:54,14th & Rhode Island Ave NW,31203.0,Vermont Ave & I St NW,31291.0,38.9086,-77.0323,38.901136451737045,-77.03445106744765,member
99141,64370BD8AD62AAC7,classic_bike,2021-01-04 07:02:21,2021-01-04 07:11:30,18th St & Wyoming Ave NW,31114.0,17th & K St NW,31213.0,38.918809,-77.04157099999999,38.90276,-77.03863,member
18719,4B36F02B1E69EB29,classic_bike,2021-01-04 07:04:27,2021-01-04 07:14:48,1st & K St NE,31662.0,10th & G St NW,31274.0,38.902386,-77.005649,38.89824328774852,-77.02623546123505,casual
65415,8DA1014547C1BFCD,classic_bike,2021-01-04 07:04:45,2021-01-04 07:07:26,Adams Mill & Columbia Rd NW,31104.0,Calvert St & Woodley Pl NW,31121.0,38.922925,-77.04258100000001,38.923583,-77.050046,member
62045,012DDA1116C8C7A2,classic_bike,2021-01-04 07:05:08,2021-01-04 07:09:07,2nd St & Seaton Pl NE,31522.0,1st & M St NE,31603.0,38.914751108831155,-77.00356006622314,38.905696999999996,-77.005483,member
41010,B2EBBD3632C8B466,classic_bike,2021-01-04 07:06:18,2021-01-04 07:26:41,Wisconsin Ave & Newark St NW,31302.0,Wisconsin Ave & Brandywine St NW,31319.0,38.934881,-77.072755,38.949813,-77.080217,member
42748,35742A3FF080F878,classic_bike,2021-01-04 07:06:52,2021-01-04 07:18:47,Royal St & Wilkes St,31903.0,Commerce St & Fayette St,31045.0,38.799267,-77.0447,38.805648,-77.05293,member
63135,962824E5FF8F143B,classic_bike,2021-01-04 07:07:00,2021-01-04 07:25:31,Jefferson Memorial,31249.0,Crystal City Metro / 18th St & S Bell St,31007.0,38.879819,-77.037413,38.857404962615036,-77.05113172531128,member
12555,CFDAE20BC33275FD,classic_bike,2021-01-04 07:07:24,2021-01-04 07:16:56,Rhode Island Ave & V St NE,31513.0,2nd & G St NE,31639.0,38.918155,-77.004746,38.89967,-77.00366600000001,member
10222,E0F308A02662B91B,classic_bike,2021-01-04 07:09:24,2021-01-04 07:21:47,New Hampshire Ave & 24th St NW,31275.0,14th & Belmont St NW,31119.0,38.901755,-77.051084,38.921074,-77.031887,casual
26491,24449999B25F2D91,classic_bike,2021-01-04 07:10:46,2021-01-04 07:22:11,Maine Ave & 9th St SW,31646.0,21st St & Constitution Ave NW,31261.0,38.88044,-77.02523599999999,38.892459,-77.04656700000001,member
60661,5F14AB096D407B02,classic_bike,2021-01-04 07:11:19,2021-01-04 07:28:56,Lamont & Mt Pleasant NW,31107.0,10th & E St NW,31256.0,38.9319,-77.0388,38.895914000000005,-77.026064,member
